phase	detail	resources	seconds	rate_per_s
load	MimicMedicationDispense.ndjson	500	0.58	867
load	MimicMedicationDispense.ndjson	500	0.53	952
load	MimicMedicationDispense.ndjson	500	0.55	906
load	MimicMedicationDispense.ndjson	500	0.38	1319
load	MimicMedicationDispense.ndjson	500	0.45	1111
load	MimicMedicationDispense.ndjson	500	0.56	898
load	MimicMedicationDispense.ndjson	500	0.57	870
load	MimicMedicationDispense.ndjson	500	0.55	916
load	MimicMedicationDispense.ndjson	500	0.53	952
load	MimicMedicationDispense.ndjson	500	0.53	940
load	MimicMedicationDispense.ndjson	500	0.54	931
load	MimicMedicationDispense.ndjson	500	0.59	847
load	MimicMedicationDispense.ndjson	500	0.56	894
load	MimicMedicationDispense.ndjson	500	0.62	806
load	MimicMedicationDispense.ndjson	500	0.57	870
load	MimicMedicationDispense.ndjson	293	0.38	765
file	MimicMedicationDispense.ndjson	14293	16.62	860
load	MimicMedicationRequest.ndjson	500	0.62	810
load	MimicMedicationRequest.ndjson	500	0.53	943
load	MimicMedicationRequest.ndjson	500	0.44	1139
load	MimicMedicationRequest.ndjson	500	0.29	1701
load	MimicMedicationRequest.ndjson	500	0.32	1572
load	MimicMedicationRequest.ndjson	500	0.41	1208
load	MimicMedicationRequest.ndjson	500	0.49	1012
load	MimicMedicationRequest.ndjson	500	0.49	1027
load	MimicMedicationRequest.ndjson	500	0.49	1014
load	MimicMedicationRequest.ndjson	500	0.50	1006
load	MimicMedicationRequest.ndjson	500	0.56	896
load	MimicMedicationRequest.ndjson	500	0.52	956
load	MimicMedicationRequest.ndjson	500	0.55	906
load	MimicMedicationRequest.ndjson	500	0.53	945
load	MimicMedicationRequest.ndjson	500	0.56	890
load	MimicMedicationRequest.ndjson	500	0.52	960
load	MimicMedicationRequest.ndjson	500	0.58	862
load	MimicMedicationRequest.ndjson	500	0.56	894
load	MimicMedicationRequest.ndjson	500	0.43	1155
load	MimicMedicationRequest.ndjson	500	0.42	1182
load	MimicMedicationRequest.ndjson	500	0.49	1025
load	MimicMedicationRequest.ndjson	500	0.56	899
load	MimicMedicationRequest.ndjson	500	0.58	867
load	MimicMedicationRequest.ndjson	500	0.56	887
load	MimicMedicationRequest.ndjson	500	0.62	809
load	MimicMedicationRequest.ndjson	500	0.58	855
load	MimicMedicationRequest.ndjson	500	0.60	829
load	MimicMedicationRequest.ndjson	500	0.58	865
load	MimicMedicationRequest.ndjson	500	0.62	810
load	MimicMedicationRequest.ndjson	500	0.54	929
load	MimicMedicationRequest.ndjson	500	0.52	963
load	MimicMedicationRequest.ndjson	500	0.47	1073
load	MimicMedicationRequest.ndjson	500	0.64	784
load	MimicMedicationRequest.ndjson	500	0.48	1031
load	MimicMedicationRequest.ndjson	500	0.44	1131
load	MimicMedicationRequest.ndjson	52	0.12	448
file	MimicMedicationRequest.ndjson	17552	19.87	883
load	MimicMedicationAdministrationICU.ndjson	500	0.52	963
load	MimicMedicationAdministrationICU.ndjson	500	0.40	1250
load	MimicMedicationAdministrationICU.ndjson	500	0.38	1305
load	MimicMedicationAdministrationICU.ndjson	500	0.34	1484
load	MimicMedicationAdministrationICU.ndjson	500	0.36	1389
load	MimicMedicationAdministrationICU.ndjson	500	0.43	1149
load	MimicMedicationAdministrationICU.ndjson	500	0.40	1250
load	MimicMedicationAdministrationICU.ndjson	500	0.40	1253
load	MimicMedicationAdministrationICU.ndjson	500	0.46	1096
load	MimicMedicationAdministrationICU.ndjson	500	0.43	1174
load	MimicMedicationAdministrationICU.ndjson	500	0.49	1010
load	MimicMedicationAdministrationICU.ndjson	500	0.43	1166
load	MimicMedicationAdministrationICU.ndjson	500	0.44	1147
load	MimicMedicationAdministrationICU.ndjson	500	0.49	1029
load	MimicMedicationAdministrationICU.ndjson	500	0.45	1121
load	MimicMedicationAdministrationICU.ndjson	500	0.48	1042
load	MimicMedicationAdministrationICU.ndjson	500	0.44	1126
load	MimicMedicationAdministrationICU.ndjson	500	0.46	1096
load	MimicMedicationAdministrationICU.ndjson	500	0.47	1064
load	MimicMedicationAdministrationICU.ndjson	500	0.50	1002
load	MimicMedicationAdministrationICU.ndjson	500	0.54	919
load	MimicMedicationAdministrationICU.ndjson	500	0.51	986
load	MimicMedicationAdministrationICU.ndjson	500	0.50	1002
load	MimicMedicationAdministrationICU.ndjson	500	0.49	1025
load	MimicMedicationAdministrationICU.ndjson	500	0.49	1027
load	MimicMedicationAdministrationICU.ndjson	500	0.57	877
load	MimicMedicationAdministrationICU.ndjson	500	0.51	984
load	MimicMedicationAdministrationICU.ndjson	500	0.39	1289
load	MimicMedicationAdministrationICU.ndjson	500	0.39	1295
load	MimicMedicationAdministrationICU.ndjson	500	0.49	1029
load	MimicMedicationAdministrationICU.ndjson	500	0.57	877
load	MimicMedicationAdministrationICU.ndjson	500	0.52	969
load	MimicMedicationAdministrationICU.ndjson	500	0.52	956
load	MimicMedicationAdministrationICU.ndjson	500	0.51	973
load	MimicMedicationAdministrationICU.ndjson	500	0.50	998
load	MimicMedicationAdministrationICU.ndjson	500	0.56	901
load	MimicMedicationAdministrationICU.ndjson	500	0.51	990
load	MimicMedicationAdministrationICU.ndjson	500	0.51	973
load	MimicMedicationAdministrationICU.ndjson	500	0.54	935
load	MimicMedicationAdministrationICU.ndjson	500	0.58	861
load	MimicMedicationAdministrationICU.ndjson	404	0.51	800
file	MimicMedicationAdministrationICU.ndjson	20404	21.42	953
load	MimicMedicationAdministration.ndjson	500	0.65	773
load	MimicMedicationAdministration.ndjson	500	0.66	762
load	MimicMedicationAdministration.ndjson	500	0.57	876
load	MimicMedicationAdministration.ndjson	500	0.64	787
load	MimicMedicationAdministration.ndjson	500	0.60	839
load	MimicMedicationAdministration.ndjson	500	0.48	1037
load	MimicMedicationAdministration.ndjson	500	0.41	1205
load	MimicMedicationAdministration.ndjson	500	0.57	877
load	MimicMedicationAdministration.ndjson	500	0.64	779
load	MimicMedicationAdministration.ndjson	500	0.58	864
load	MimicMedicationAdministration.ndjson	500	0.68	737
load	MimicMedicationAdministration.ndjson	500	0.60	829
load	MimicMedicationAdministration.ndjson	500	0.64	781
load	MimicMedicationAdministration.ndjson	500	0.62	808
load	MimicMedicationAdministration.ndjson	500	0.63	795
load	MimicMedicationAdministration.ndjson	500	0.63	795
load	MimicMedicationAdministration.ndjson	500	0.55	903
load	MimicMedicationAdministration.ndjson	500	0.46	1085
load	MimicMedicationAdministration.ndjson	500	0.44	1131
load	MimicMedicationAdministration.ndjson	500	0.66	758
load	MimicMedicationAdministration.ndjson	500	0.61	822
load	MimicMedicationAdministration.ndjson	500	0.62	809
load	MimicMedicationAdministration.ndjson	500	0.62	809
load	MimicMedicationAdministration.ndjson	500	0.69	728
load	MimicMedicationAdministration.ndjson	500	0.60	826
load	MimicMedicationAdministration.ndjson	500	0.64	786
load	MimicMedicationAdministration.ndjson	500	0.63	797
load	MimicMedicationAdministration.ndjson	500	0.64	787
load	MimicMedicationAdministration.ndjson	500	0.63	791
load	MimicMedicationAdministration.ndjson	500	0.50	996
load	MimicMedicationAdministration.ndjson	500	0.46	1089
load	MimicMedicationAdministration.ndjson	500	0.43	1174
load	MimicMedicationAdministration.ndjson	500	0.45	1124
load	MimicMedicationAdministration.ndjson	500	0.48	1050
load	MimicMedicationAdministration.ndjson	500	0.51	988
load	MimicMedicationAdministration.ndjson	500	0.47	1059
load	MimicMedicationAdministration.ndjson	500	0.47	1071
load	MimicMedicationAdministration.ndjson	500	0.49	1012
load	MimicMedicationAdministration.ndjson	500	0.48	1040
load	MimicMedicationAdministration.ndjson	500	0.45	1114
load	MimicMedicationAdministration.ndjson	500	0.45	1121
load	MimicMedicationAdministration.ndjson	500	0.47	1071
load	MimicMedicationAdministration.ndjson	500	0.53	936
load	MimicMedicationAdministration.ndjson	500	0.45	1101
load	MimicMedicationAdministration.ndjson	500	0.50	1000
load	MimicMedicationAdministration.ndjson	500	0.45	1106
load	MimicMedicationAdministration.ndjson	500	0.46	1096
load	MimicMedicationAdministration.ndjson	500	0.48	1046
load	MimicMedicationAdministration.ndjson	500	0.48	1046
load	MimicMedicationAdministration.ndjson	500	0.53	942
load	MimicMedicationAdministration.ndjson	500	0.45	1106
load	MimicMedicationAdministration.ndjson	500	0.46	1096
load	MimicMedicationAdministration.ndjson	500	0.45	1106
load	MimicMedicationAdministration.ndjson	500	0.49	1027
load	MimicMedicationAdministration.ndjson	500	0.52	971
load	MimicMedicationAdministration.ndjson	500	0.45	1116
load	MimicMedicationAdministration.ndjson	500	0.48	1042
load	MimicMedicationAdministration.ndjson	500	0.54	931
load	MimicMedicationAdministration.ndjson	500	0.50	1004
load	MimicMedicationAdministration.ndjson	500	0.48	1040
load	MimicMedicationAdministration.ndjson	500	0.48	1046
load	MimicMedicationAdministration.ndjson	500	0.51	977
load	MimicMedicationAdministration.ndjson	500	0.47	1068
load	MimicMedicationAdministration.ndjson	500	0.48	1050
load	MimicMedicationAdministration.ndjson	500	0.47	1059
load	MimicMedicationAdministration.ndjson	500	0.52	954
load	MimicMedicationAdministration.ndjson	500	0.49	1027
load	MimicMedicationAdministration.ndjson	500	0.45	1101
load	MimicMedicationAdministration.ndjson	500	0.53	938
load	MimicMedicationAdministration.ndjson	500	0.55	903
load	MimicMedicationAdministration.ndjson	500	0.51	990
load	MimicMedicationAdministration.ndjson	500	0.48	1042
load	MimicMedicationAdministration.ndjson	131	0.20	645
file	MimicMedicationAdministration.ndjson	36131	40.20	899
load	MimicObservationLabevents.ndjson	500	0.82	610
load	MimicObservationLabevents.ndjson	500	0.81	619
load	MimicObservationLabevents.ndjson	500	0.64	779
load	MimicObservationLabevents.ndjson	500	0.66	760
load	MimicObservationLabevents.ndjson	500	0.68	735
load	MimicObservationLabevents.ndjson	500	0.74	673
load	MimicObservationLabevents.ndjson	500	0.67	743
load	MimicObservationLabevents.ndjson	500	0.75	667
load	MimicObservationLabevents.ndjson	500	0.73	684
load	MimicObservationLabevents.ndjson	500	0.70	709
load	MimicObservationLabevents.ndjson	500	0.68	741
load	MimicObservationLabevents.ndjson	500	0.73	685
load	MimicObservationLabevents.ndjson	500	0.71	708
load	MimicObservationLabevents.ndjson	500	0.69	728
load	MimicObservationLabevents.ndjson	500	0.79	631
load	MimicObservationLabevents.ndjson	500	1.00	502
load	MimicObservationLabevents.ndjson	500	0.99	504
load	MimicObservationLabevents.ndjson	500	0.95	526
load	MimicObservationLabevents.ndjson	500	0.97	513
load	MimicObservationLabevents.ndjson	500	0.92	545
load	MimicObservationLabevents.ndjson	500	0.97	517
load	MimicObservationLabevents.ndjson	500	0.98	509
load	MimicObservationLabevents.ndjson	500	1.00	502
load	MimicObservationLabevents.ndjson	500	1.04	481
load	MimicObservationLabevents.ndjson	500	0.98	509
load	MimicObservationLabevents.ndjson	500	0.97	518
load	MimicObservationLabevents.ndjson	500	0.90	559
load	MimicObservationLabevents.ndjson	500	0.77	654
load	MimicObservationLabevents.ndjson	500	0.92	542
load	MimicObservationLabevents.ndjson	500	0.97	513
load	MimicObservationLabevents.ndjson	500	0.96	522
load	MimicObservationLabevents.ndjson	500	1.00	502
load	MimicObservationLabevents.ndjson	500	1.00	502
load	MimicObservationLabevents.ndjson	500	0.95	528
load	MimicObservationLabevents.ndjson	500	1.00	502
load	MimicObservationLabevents.ndjson	500	1.01	497
load	MimicObservationLabevents.ndjson	500	0.96	523
load	MimicObservationLabevents.ndjson	500	0.99	505
load	MimicObservationLabevents.ndjson	500	0.94	531
load	MimicObservationLabevents.ndjson	500	0.97	515
load	MimicObservationLabevents.ndjson	500	0.83	602
load	MimicObservationLabevents.ndjson	500	0.88	567
load	MimicObservationLabevents.ndjson	500	1.03	483
load	MimicObservationLabevents.ndjson	500	1.12	447
load	MimicObservationLabevents.ndjson	500	1.05	474
load	MimicObservationLabevents.ndjson	500	1.01	496
load	MimicObservationLabevents.ndjson	500	0.78	639
load	MimicObservationLabevents.ndjson	500	0.96	520
load	MimicObservationLabevents.ndjson	500	0.99	505
load	MimicObservationLabevents.ndjson	500	1.14	438
load	MimicObservationLabevents.ndjson	500	0.96	522
load	MimicObservationLabevents.ndjson	500	0.79	631
load	MimicObservationLabevents.ndjson	500	1.09	459
load	MimicObservationLabevents.ndjson	500	1.06	473
load	MimicObservationLabevents.ndjson	500	1.03	485
load	MimicObservationLabevents.ndjson	500	1.07	468
load	MimicObservationLabevents.ndjson	500	1.06	473
load	MimicObservationLabevents.ndjson	500	1.01	496
load	MimicObservationLabevents.ndjson	500	0.79	635
load	MimicObservationLabevents.ndjson	500	0.99	504
load	MimicObservationLabevents.ndjson	500	0.80	629
load	MimicObservationLabevents.ndjson	500	1.00	501
load	MimicObservationLabevents.ndjson	500	1.05	476
load	MimicObservationLabevents.ndjson	500	1.00	501
load	MimicObservationLabevents.ndjson	500	1.05	476
load	MimicObservationLabevents.ndjson	500	1.06	469
load	MimicObservationLabevents.ndjson	500	1.01	495
load	MimicObservationLabevents.ndjson	500	1.10	453
load	MimicObservationLabevents.ndjson	500	1.10	453
load	MimicObservationLabevents.ndjson	500	1.06	470
load	MimicObservationLabevents.ndjson	500	1.09	459
load	MimicObservationLabevents.ndjson	500	1.07	467
load	MimicObservationLabevents.ndjson	500	1.06	470
load	MimicObservationLabevents.ndjson	500	1.03	483
load	MimicObservationLabevents.ndjson	500	0.81	617
load	MimicObservationLabevents.ndjson	500	1.10	454
load	MimicObservationLabevents.ndjson	500	1.10	453
load	MimicObservationLabevents.ndjson	500	1.00	498
load	MimicObservationLabevents.ndjson	500	1.09	457
load	MimicObservationLabevents.ndjson	500	1.09	457
load	MimicObservationLabevents.ndjson	500	1.16	431
load	MimicObservationLabevents.ndjson	500	0.78	643
load	MimicObservationLabevents.ndjson	500	1.05	475
load	MimicObservationLabevents.ndjson	500	1.10	453
load	MimicObservationLabevents.ndjson	500	1.15	436
load	MimicObservationLabevents.ndjson	500	1.11	449
load	MimicObservationLabevents.ndjson	500	1.01	493
load	MimicObservationLabevents.ndjson	500	0.91	548
load	MimicObservationLabevents.ndjson	500	1.16	433
load	MimicObservationLabevents.ndjson	500	1.04	482
load	MimicObservationLabevents.ndjson	500	1.11	450
load	MimicObservationLabevents.ndjson	500	1.04	480
load	MimicObservationLabevents.ndjson	500	1.00	501
load	MimicObservationLabevents.ndjson	500	1.06	472
load	MimicObservationLabevents.ndjson	500	1.03	484
load	MimicObservationLabevents.ndjson	500	1.02	490
load	MimicObservationLabevents.ndjson	500	0.77	648
load	MimicObservationLabevents.ndjson	500	0.73	686
load	MimicObservationLabevents.ndjson	500	0.89	563
load	MimicObservationLabevents.ndjson	500	0.80	628
load	MimicObservationLabevents.ndjson	500	0.82	612
load	MimicObservationLabevents.ndjson	500	0.79	636
load	MimicObservationLabevents.ndjson	500	0.77	649
load	MimicObservationLabevents.ndjson	500	0.83	605
load	MimicObservationLabevents.ndjson	500	0.78	644
load	MimicObservationLabevents.ndjson	500	0.74	678
load	MimicObservationLabevents.ndjson	500	0.77	646
load	MimicObservationLabevents.ndjson	500	0.82	613
load	MimicObservationLabevents.ndjson	500	0.81	620
load	MimicObservationLabevents.ndjson	500	0.75	669
load	MimicObservationLabevents.ndjson	500	0.78	642
load	MimicObservationLabevents.ndjson	500	0.75	663
load	MimicObservationLabevents.ndjson	500	0.73	680
load	MimicObservationLabevents.ndjson	500	0.83	605
load	MimicObservationLabevents.ndjson	500	0.79	635
load	MimicObservationLabevents.ndjson	500	0.70	713
load	MimicObservationLabevents.ndjson	500	0.80	625
load	MimicObservationLabevents.ndjson	500	0.79	637
load	MimicObservationLabevents.ndjson	500	0.73	680
load	MimicObservationLabevents.ndjson	500	0.75	666
load	MimicObservationLabevents.ndjson	500	0.83	599
load	MimicObservationLabevents.ndjson	500	0.74	673
load	MimicObservationLabevents.ndjson	500	0.77	654
load	MimicObservationLabevents.ndjson	500	0.78	644
load	MimicObservationLabevents.ndjson	500	0.74	678
load	MimicObservationLabevents.ndjson	500	0.73	681
load	MimicObservationLabevents.ndjson	500	0.74	673
load	MimicObservationLabevents.ndjson	500	0.83	605
load	MimicObservationLabevents.ndjson	500	0.76	654
load	MimicObservationLabevents.ndjson	500	0.76	658
load	MimicObservationLabevents.ndjson	500	0.82	612
load	MimicObservationLabevents.ndjson	500	0.75	663
load	MimicObservationLabevents.ndjson	500	0.79	631
load	MimicObservationLabevents.ndjson	500	0.73	683
load	MimicObservationLabevents.ndjson	500	0.78	639
load	MimicObservationLabevents.ndjson	500	0.84	597
load	MimicObservationLabevents.ndjson	500	0.80	623
load	MimicObservationLabevents.ndjson	500	0.84	597
load	MimicObservationLabevents.ndjson	500	0.75	668
load	MimicObservationLabevents.ndjson	500	0.78	640
load	MimicObservationLabevents.ndjson	500	0.88	569
load	MimicObservationLabevents.ndjson	500	0.73	685
load	MimicObservationLabevents.ndjson	500	0.88	571
load	MimicObservationLabevents.ndjson	500	0.77	654
load	MimicObservationLabevents.ndjson	500	0.80	622
load	MimicObservationLabevents.ndjson	500	0.77	646
load	MimicObservationLabevents.ndjson	500	0.75	667
load	MimicObservationLabevents.ndjson	500	0.82	608
load	MimicObservationLabevents.ndjson	500	0.77	650
load	MimicObservationLabevents.ndjson	500	0.83	604
load	MimicObservationLabevents.ndjson	500	0.81	615
load	MimicObservationLabevents.ndjson	500	0.79	636
load	MimicObservationLabevents.ndjson	500	0.90	556
load	MimicObservationLabevents.ndjson	500	0.80	626
load	MimicObservationLabevents.ndjson	500	1.16	431
load	MimicObservationLabevents.ndjson	500	1.11	448
load	MimicObservationLabevents.ndjson	500	1.20	417
load	MimicObservationLabevents.ndjson	500	1.19	421
load	MimicObservationLabevents.ndjson	500	1.10	453
load	MimicObservationLabevents.ndjson	500	1.23	406
load	MimicObservationLabevents.ndjson	500	0.91	552
load	MimicObservationLabevents.ndjson	500	1.03	484
load	MimicObservationLabevents.ndjson	500	1.13	443
load	MimicObservationLabevents.ndjson	500	1.14	437
load	MimicObservationLabevents.ndjson	500	1.17	428
load	MimicObservationLabevents.ndjson	500	1.18	424
load	MimicObservationLabevents.ndjson	500	1.11	448
load	MimicObservationLabevents.ndjson	500	1.11	449
load	MimicObservationLabevents.ndjson	500	1.12	448
load	MimicObservationLabevents.ndjson	500	1.12	447
load	MimicObservationLabevents.ndjson	500	0.93	539
load	MimicObservationLabevents.ndjson	500	0.94	530
load	MimicObservationLabevents.ndjson	500	1.11	452
load	MimicObservationLabevents.ndjson	500	1.14	440
load	MimicObservationLabevents.ndjson	500	1.05	474
load	MimicObservationLabevents.ndjson	500	0.92	543
load	MimicObservationLabevents.ndjson	500	1.18	424
load	MimicObservationLabevents.ndjson	500	1.09	458
load	MimicObservationLabevents.ndjson	500	1.12	446
load	MimicObservationLabevents.ndjson	500	1.09	460
load	MimicObservationLabevents.ndjson	500	0.85	585
load	MimicObservationLabevents.ndjson	500	1.18	423
load	MimicObservationLabevents.ndjson	500	1.07	469
load	MimicObservationLabevents.ndjson	500	1.17	426
load	MimicObservationLabevents.ndjson	500	1.15	434
load	MimicObservationLabevents.ndjson	500	1.03	487
load	MimicObservationLabevents.ndjson	500	0.97	517
load	MimicObservationLabevents.ndjson	500	1.04	480
load	MimicObservationLabevents.ndjson	500	0.91	549
load	MimicObservationLabevents.ndjson	500	1.16	432
load	MimicObservationLabevents.ndjson	500	1.18	426
load	MimicObservationLabevents.ndjson	500	1.08	462
load	MimicObservationLabevents.ndjson	500	1.16	430
load	MimicObservationLabevents.ndjson	500	1.26	397
load	MimicObservationLabevents.ndjson	500	1.10	452
load	MimicObservationLabevents.ndjson	500	1.14	439
load	MimicObservationLabevents.ndjson	500	1.15	434
load	MimicObservationLabevents.ndjson	500	1.09	459
load	MimicObservationLabevents.ndjson	500	1.12	448
load	MimicObservationLabevents.ndjson	500	1.00	498
load	MimicObservationLabevents.ndjson	500	0.91	549
load	MimicObservationLabevents.ndjson	500	1.10	454
load	MimicObservationLabevents.ndjson	500	1.12	446
load	MimicObservationLabevents.ndjson	500	1.10	455
load	MimicObservationLabevents.ndjson	500	1.13	442
load	MimicObservationLabevents.ndjson	500	1.13	441
load	MimicObservationLabevents.ndjson	500	1.06	472
load	MimicObservationLabevents.ndjson	500	0.85	586
load	MimicObservationLabevents.ndjson	500	1.14	437
load	MimicObservationLabevents.ndjson	500	1.12	448
load	MimicObservationLabevents.ndjson	500	0.90	556
load	MimicObservationLabevents.ndjson	500	0.99	503
load	MimicObservationLabevents.ndjson	500	1.12	447
load	MimicObservationLabevents.ndjson	500	1.14	441
load	MimicObservationLabevents.ndjson	500	1.21	415
load	MimicObservationLabevents.ndjson	227	0.61	373
file	MimicObservationLabevents.ndjson	107727	216.00	499
load	MimicObservationChartevents.ndjson	500	1.03	484
load	MimicObservationChartevents.ndjson	500	1.00	502
load	MimicObservationChartevents.ndjson	500	0.90	556
load	MimicObservationChartevents.ndjson	500	0.78	645
load	MimicObservationChartevents.ndjson	500	0.77	651
load	MimicObservationChartevents.ndjson	500	0.81	617
load	MimicObservationChartevents.ndjson	500	0.77	652
load	MimicObservationChartevents.ndjson	500	0.73	684
load	MimicObservationChartevents.ndjson	500	0.77	651
load	MimicObservationChartevents.ndjson	500	0.72	693
load	MimicObservationChartevents.ndjson	500	0.76	658
load	MimicObservationChartevents.ndjson	500	0.71	708
load	MimicObservationChartevents.ndjson	500	0.74	675
load	MimicObservationChartevents.ndjson	500	0.72	692
load	MimicObservationChartevents.ndjson	500	0.74	679
load	MimicObservationChartevents.ndjson	500	0.71	700
load	MimicObservationChartevents.ndjson	500	0.82	611
load	MimicObservationChartevents.ndjson	500	0.71	707
load	MimicObservationChartevents.ndjson	500	0.71	700
load	MimicObservationChartevents.ndjson	500	0.76	654
load	MimicObservationChartevents.ndjson	500	0.73	686
load	MimicObservationChartevents.ndjson	500	0.74	672
load	MimicObservationChartevents.ndjson	500	0.72	693
load	MimicObservationChartevents.ndjson	500	0.74	678
load	MimicObservationChartevents.ndjson	500	0.68	733
load	MimicObservationChartevents.ndjson	500	0.71	701
load	MimicObservationChartevents.ndjson	500	0.72	691
load	MimicObservationChartevents.ndjson	500	0.81	618
load	MimicObservationChartevents.ndjson	500	0.71	699
load	MimicObservationChartevents.ndjson	500	0.73	684
load	MimicObservationChartevents.ndjson	500	0.74	677
